1	2026-09-23T20:40:54.117815612-0400	10.230.178.196	43756	8.8.8.8	53	0xa065	example.com	1
3	2026-09-23T20:40:54.392698962-0400	10.230.178.27	5353	224.0.0.251	5353	0x0000	_spotify-connect._tcp.local	12
4	2026-09-23T20:40:54.392699040-0400		5353		5353	0x0000	_spotify-connect._tcp.local	12
6	2026-09-23T20:40:59.112495178-0400	10.230.178.196	49574	8.8.8.8	53	0xa065	example.com	1
12	2026-09-23T20:41:05.654093186-0400	10.230.178.27	5353	224.0.0.251	5353	0x0035	_kdeconnect._udp.local	12
13	2026-09-23T20:41:05.654093766-0400		5353		5353	0x0035	_kdeconnect._udp.local	12
